City,Population,County,State,FullState,MSA,Population Score,Closest Airport,Proximity to Airport,Airport Score
New Haven,129934,New Haven County,CT,Connecticut,"New Haven, CT",1.3,Tweed New Haven Airport,11 min,7.6
Stamford,129113,Fairfield County,CT,Connecticut,"Bridgeport-Stamford-Norwalk, CT",1.3,John F. Kennedy International Airport,49 min,0
Thousand Oaks,128888,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",1.3,Los Angeles International Airport,46 min,0
Concord,128726,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.3,Oakland International Airport,33 min,0
Elizabeth,128640,Union County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",1.3,Newark Liberty International Airport,9 min,8.4
Lafayette,127626,Lafayette Parish,LA,Louisiana,"Lafayette, LA",1.2,New orleans airport,Over 60 min,0
Kent,127514,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1.2,Seattle-Tacoma International Airport,17 min,5.2
Topeka,126808,Shawnee County,KS,Kansas,"Topeka, KS",1.2,Clinton International Model Airport,31 min,0
Simi Valley,126327,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",1.2,Los Angeles International Airport,50 min,0
Santa Clara,125948,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",1.2,Oakland International Airport,43 min,0
Athens-Clarke County,123371,Clarke County,GA,Georgia,"Athens-Clarke County, GA",1.2,Kennedy Intranational Airport,Over 60 min,0
Hartford,123243,Hartford County,CT,Connecticut,"Hartford-West Hartford-East Hartford, CT",1.2,Bradley International Airport,18 min,4.8
Victorville,122265,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.2,San Bernardino International Airport,49 min,0
Abilene,122225,Taylor County,TX,Texas,"Abilene, TX",1.2,ABI Abilene Regional Airport,11 min,7.6
Norman,122180,Cleveland County,OK,Oklahoma,"Oklahoma City, OK",1.2,Will Rogers World Airport,30 min,0
Vallejo,121299,Solano County,CA,California,"Vallejo-Fairfield, CA",1.2,Oakland International Airport,40 min,0
Berkeley,121240,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.2,Oakland International Airport,22 min,3.2
Round Rock,120892,Williamson County,TX,Texas,"Austin-Round Rock, TX",1.2,Austin-Bergstrom International Airport,31 min,0
Ann Arbor,120782,Washtenaw County,MI,Michigan,"Ann Arbor, MI",1.2,Detroit Metropolitan Wayne County Airport,32 min,0
Fargo,120762,Cass County,ND,North Dakota,"Fargo, ND-MN",1.2,Hector International Airport,9 min,8.4
Columbia,120612,Boone County,MO,Missouri,"Columbia, MO",1.2,Jefferson City Memorial Airport,32 min,0
Allentown,120443,Lehigh County,PA,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",1.2,Lehigh Valley International Airport,11 min,7.6
Evansville,119477,Vanderburgh County,IN,Indiana,"Evansville, IN-KY",1.2,Evansville Regional Airport,16 min,5.6
Beaumont,118299,Jefferson County,TX,Texas,"Beaumont-Port Arthur, TX",1.2,Jack Brooks Regional Airport,17 min,5.2
Odessa,117871,Ector County,TX,Texas,"Odessa, TX",1.1,Midland International Air & Space Port,16 min,5.6
Wilmington,117525,New Hanover County,NC,North Carolina,"Wilmington, NC",1.1,Wilmington International Airport,12 min,7.2
Arvada,117453,Jefferson County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.1,Denver International Airport,32 min,0
Independence,117030,Jackson County,MO,Missouri,"Kansas City, MO-KS",1.1,Kansas City International Airport,36 min,0
Provo,116868,Utah County,UT,Utah,"Provo-Orem, UT",1.1,Provo Airport Taxi Cab Shuttle,5 min,10
Lansing,116020,Ingham County,MI,Michigan,"Lansing-East Lansing, MI",1.1,Capital Region International Airport,12 min,7.2
El Monte,115807,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1,LA/Ontario International Airport Terminal 4,31 min,0
Springfield,115715,Sangamon County,IL,Illinois,"Springfield, IL",1.1,Abraham Lincoln Capital Airport,14 min,6.4
Fairfield,114756,Solano County,CA,California,"Vallejo-Fairfield, CA",1.1,Sacramento International Airport,48 min,0
Clearwater,114361,Pinellas County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",1.1,Tampa International Airport,30 min,0
Peoria,114265,Peoria County,IL,Illinois,"Peoria, IL",1.1,General Wayne A. Downing Peoria International Airport,14 min,6.4
Rochester,114011,Olmsted County,MN,Minnesota,"Rochester, MN",1.1,Rochester International Airport,Over 60 min,0
Carlsbad,113952,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.1,San Diego International Airport,39 min,0
Westminster,113875,Adams County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.1,Denver International Airport,30 min,0
West Jordan,113699,Salt Lake County,UT,Utah,"Salt Lake City, UT",1.1,Salt Lake City International Airport,19 min,4.4
Pearland,113570,Brazoria County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",1.1,George Bush Intercontinental Airport,43 min,0
Richardson,113347,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.1,Dallas/Fort Worth International Airport,24 min,2.4
Downey,113267,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1,Los Angeles International Airport,26 min,1.6
Miami Gardens,113058,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.1,Miami International Airport,20 min,4
Temecula,113054,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.1,San Diego Airport,60 min,0
Costa Mesa,112822,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1,LA/Ontario International Airport Terminal 4,50 min,0
College Station,112141,Brazos County,TX,Texas,"College Station-Bryan, TX",1.1,Easterwood Airport,10 min,8
Elgin,112123,Kane County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",1.1,O'Hare International Airport,30 min,0
Murrieta,111674,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.1,San Diego Airport,Over 60 min,0
Gresham,111523,Multnomah County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",1.1,Portland International Airport,25 min,2
High Point,111223,Guilford County,NC,North Carolina,"Greensboro-High Point, NC",1.1,Piedmont Triad International Airport,26 min,1.6
Antioch,110898,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.1,Oakland International Airport,46 min,0
Inglewood,110654,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1,Los Angeles International Airport,12 min,7.2
Cambridge,110651,Middlesex County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",1.1,Boston Logan International Airport,16 min,5.6
Lowell,110558,Middlesex County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",1.1,Boston Logan International Airport,35 min,0
Manchester,110506,Hillsborough County,NH,New Hampshire,"Manchester, NH",1.1,Snow Airport,Over 60 min,0
Billings,110323,Yellowstone County,MT,Montana,"Billings, MT",1.1,Billings Logan International Airport,8 min,8.8
Pueblo,110291,Pueblo County,CO,Colorado,"Pueblo, CO",1.1,Pueblo Memorial Airport,15 min,6
Palm Bay,110104,Brevard County,FL,Florida,"Palm Bay-Melbourne-Titusville, FL",1.1,Orlando Melbourne International Airport,12 min,7.2
Centennial,109932,Arapahoe County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.1,Denver International Airport,29 min,0.4
Richmond,109813,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.1,Oakland International Airport,26 min,1.6
Ventura,109592,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",1.1,Camarillo Airport,22 min,3.2
Pompano Beach,109393,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.1,Miami International Airport,40 min,0
North Charleston,109298,Charleston County,SC,South Carolina,"Charleston-North Charleston, SC",1.1,Charleston International Airport,11 min,7.6
Everett,109043,Snohomish County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1.1,Jefferson County International Airport,Over 60 min,0
Waterbury,108272,New Haven County,CT,Connecticut,"New Haven, CT",1.1,Bradley International Airport,48 min,0
West Palm Beach,108161,Palm Beach County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.1,Palm Beach International Airport,9 min,8.4
Boulder,108090,Boulder County,CO,Colorado,"Boulder, CO",1.1,Denver Airport Transportation,42 min,0
West Covina,107847,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1,LA/Ontario International Airport Terminal 4,30 min,0
Broken Arrow,107403,Tulsa County,OK,Oklahoma,"Tulsa, OK",1,Tulsa International Airport,14 min,6.4
Clovis,106583,Fresno County,CA,California,"Fresno, CA",1,Fresno Yosemite International Airport,14 min,6.4
Daly City,106472,San Mateo County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1,Oakland International Airport,31 min,0
Lakeland,106420,Polk County,FL,Florida,"Lakeland-Winter Haven, FL",1,Tampa Airport,46 min,0
Santa Maria,106290,Santa Barbara County,CA,California,"Santa Maria-Santa Barbara, CA",1,San Luis Obispo County Regional Airport,32 min,0
Norwalk,106178,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1,LA/Ontario International Airport Terminal 4,46 min,0
Sandy Springs,105703,Fulton County,GA,Georgia,"Atlanta-Sandy Springs-Roswell, GA",1,Hartsfield-Jackson Atlanta International Airport,29 min,0.4
Hillsboro,105164,Washington County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",1,Portland International Airport,46 min,0
Green Bay,105139,Brown County,WI,Wisconsin,"Green Bay, WI",1,Green Bay Austin Straubel International Airport,16 min,5.6
Tyler,104798,Smith County,TX,Texas,"Tyler, TX",1,Tyler Pounds Regional Airport,16 min,5.6
Wichita Falls,104724,Wichita County,TX,Texas,"Wichita Falls, TX",1,Kickapoo Downtown Airport,9 min,8.4
Lewisville,104659,Denton County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1,Dallas/Fort Worth International Airport,18 min,4.8
Burbank,104447,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1,Los Angeles International Airport,38 min,0
Greeley,103990,Weld County,CO,Colorado,"Greeley, CO",1,Reed Airport,Over 60 min,0
San Mateo,103959,San Mateo County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1,Oakland International Airport,30 min,0
El Cajon,103768,San Diego County,CA,California,"San Diego-Carlsbad, CA",1,San Diego International Airport,24 min,2.4
Jurupa Valley,103541,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1,LA/Ontario International Airport Terminal 4,19 min,4.4
Rialto,103314,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1,San Bernardino International Airport,21 min,3.6
Davenport,102612,Scott County,IA,Iowa,"Davenport-Moline-Rock Island, IA-IL",1,Quad City International Airport,17 min,5.2
League City,102010,Galveston County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",1,William P. Hobby Airport,23 min,2.8
Davie,101871,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1,Miami International Airport,31 min,0
Las Cruces,101759,Doí±a Ana County,NM,New Mexico,"Las Cruces, NM",1,Las Cruces International Airport KLRU,20 min,4
South Bend,101735,St. Joseph County,IN,Indiana,"South Bend-Mishawaka, IN-MI",1,South Bend International Airport,10 min,8
Vista,101659,San Diego County,CA,California,"San Diego-Carlsbad, CA",1,San Diego Airport,47 min,0
Renton,100953,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1,Seattle-Tacoma International Airport,11 min,7.6
San Angelo,100702,Tom Green County,TX,Texas,"San Angelo, TX",1,San Angelo Regional Airport,18 min,4.8
